58227,928488
58227,928607
58227,928135
72836,1234686
116102,2121773
58397,956575
76512,1293795
58403,973122
72836,1224666
72836,1224346
116033,2120943
116033,2121598
116033,2120945
116033,2121371
97871,1634465
97871,1636459
97871,1637807
72836,1224334
72836,1224499
76537,1291916
72836,1224166
76537,1292848
110140,1753680
72836,1224648
72836,1224489
72836,1224016
72836,1224649
110153,2060909
110153,2063182
110153,2065295
58429,972969
116013,2120704
72836,1234796
13821,137753
72836,1234683
13821,137343
115980,2121390
10582,136315
116089,2120247
122123,2199891
122123,2199845
122123,2199163
122123,2200250
122123,2197680
122123,2199513
122123,2199874
122123,2199846
10582,137156
122123,2197718
122123,2199162
122123,2199500
10582,137157
72836,1234650
122123,2199460
17180,137949
72836,1234737
17180,138235
111948,2022972
122123,2198411
72836,1234687
122123,2198447
10582,136331
72836,1234738
122123,2200236
122123,2199872
45642,734086
10582,135794
111948,2022472
111948,2022716
122123,2198100
45457,734424
122123,2198782
72836,1223862
122123,2198448
10582,136837
122123,2197717
122123,2199161
110215,1809894
72836,1223874
76545,1298423
115920,2121511
14228,169315
79021,1345863
79021,1345978
79021,1345860
72836,1224331
110317,1930840
110317,1930850
110317,1930278
115944,2120653
2863,13781
58635,967762
17384,169384
17384,169157
111145,2039692
111145,2037553
69579,1150257
76545,1297456
69579,1151553
69623,1151679
17670,142781
110653,1931764
110653,1931211
110653,1931431
110653,1931327
115838,2121744
56069,940148
42495,581437
110653,1931767
110653,1931659
5700,70777
42807,546477
115889,2120479
5854,66771
115889,2120482
82505,1353177
27634,369175
115889,2121326
110945,1900222
27813,311299
27813,311309
27813,311334
27819,309205
72836,1224667
39689,535243
39689,535367
45509,727488
45509,726772
45509,729545
45509,726766
45509,728822
45510,730874
45510,730777
45510,730776
45511,727171
122608,2239519
122608,2240860
82530,1353189
376,38739
52998,898373
53003,897587
53003,898399
111243,2017380
98286,1660257
111291,1775337
45541,797850
58772,945815
58772,945972
82516,1352816
82516,1352894
58772,945397
58772,945396
58772,945856
58772,945487
58772,945718
76545,1297256
76545,1297676
111404,1862983
111404,1868092
58772,945855
58772,945873
76545,1297454
58776,950464
28660,424899
116411,2140950
45591,682800
45591,682551
45591,682671
117196,2159456
82665,1352877
58859,972847
57908,979992
58914,981121
20689,250707
98633,1626220
116430,2159597
116430,2159668
116430,2159640
111756,1852228
116430,2159709
111756,1852680
20689,252677
111756,1855058
98653,1625894
116430,2159531
82479,1352836
53005,898184
116430,2159538
20689,250652
116430,2159615
20689,251226
20689,251849
111809,1961716
20689,252692
111809,1952469
98686,1640484
20689,250984
98686,1640701
20689,251518
20689,251879
116430,2159726
116430,2159641
72841,1225904
53020,898254
53020,897277
53020,898065
72841,1226019
72841,1226230
72841,1226021
98770,1651494
72841,1225801
98803,1621677
111917,1875864
111917,1876664
111917,1877469
111917,1876662
111917,1875862
111917,1874243
111917,1876663
111917,1878317
111917,1877467
111917,1875865
111917,1878318
111917,1877470
111917,1878316
111917,1876665
29268,410636
29268,410632
111917,1875083
111917,1875872
111917,1874845
53746,897859
53024,897452
116430,2159523
29268,411463
29268,411358
29268,411097
116430,2159542
116430,2159681
53024,897451
116430,2159584
116430,2159648
112432,1876630
112432,1879112
53063,897656
20788,206068
111929,1878283
111929,1878171
116430,2159539
76545,1296809
111929,1874870
111929,1874869
116430,2159566
76545,1296600
116430,2159595
111929,1874209
116430,2159744
111929,1875857
111929,1878313
111929,1875079
111929,1879125
111929,1877464
111929,1876659
111929,1879126
111929,1874238
111929,1876658
111929,1878104
20788,205976
20788,206067
20788,206225
111929,1874210
20788,206224
20788,206071
98835,1622372
59235,986792
59235,987022
59235,986791
20788,205967
59235,987378
59235,987377
59235,987376
20788,292405
116430,2159569
20788,292209
20788,292510
20788,292305
116430,2159662
20788,292406
20788,292700
20788,292698
116430,2159541
20788,292699
